CMDLINE python untitled.py
MEM 0.207031 1674873062.3083
MEM 12.222656 1674873062.4087
MEM 17.921875 1674873062.5090
MEM 29.203125 1674873062.6093
MEM 31.781250 1674873062.7095
MEM 32.554688 1674873062.8096
MEM 35.128906 1674873062.9098
MEM 41.808594 1674873063.0100
MEM 48.093750 1674873063.1102
MEM 53.843750 1674873063.2104
MEM 56.027344 1674873063.3106
MEM 59.105469 1674873063.4108
MEM 63.250000 1674873063.5109
MEM 67.066406 1674873063.6111
MEM 72.390625 1674873063.7113
MEM 77.601562 1674873063.8114
MEM 79.562500 1674873063.9116
MEM 84.019531 1674873064.0118
MEM 90.125000 1674873064.1120
MEM 93.218750 1674873064.2122
MEM 94.992188 1674873064.3124
MEM 97.566406 1674873064.4125
MEM 98.734375 1674873064.5127
MEM 99.621094 1674873064.6129
MEM 104.382812 1674873064.7131
MEM 106.347656 1674873064.8133
MEM 107.957031 1674873064.9135
MEM 112.335938 1674873065.0137
MEM 115.117188 1674873065.1139
MEM 118.222656 1674873065.2141
MEM 121.945312 1674873065.3142
MEM 126.187500 1674873065.4144
MEM 128.894531 1674873065.5146
MEM 132.699219 1674873065.6148
MEM 134.117188 1674873065.7149
MEM 137.644531 1674873065.8151
MEM 141.531250 1674873065.9153
MEM 142.757812 1674873066.0155
MEM 144.742188 1674873066.1157
MEM 145.000000 1674873066.2159
MEM 144.953125 1674873066.3162
MEM 145.917969 1674873066.4166
MEM 146.105469 1674873066.5168
MEM 146.105469 1674873066.6171
MEM 146.105469 1674873066.7173
MEM 146.105469 1674873066.8175
MEM 146.105469 1674873066.9178
MEM 146.105469 1674873067.0180
MEM 146.105469 1674873067.1182
MEM 146.105469 1674873067.2184
MEM 146.105469 1674873067.3186
MEM 146.105469 1674873067.4199
MEM 146.105469 1674873067.5201
MEM 146.164062 1674873067.6203
MEM 146.164062 1674873067.7205
MEM 146.164062 1674873067.8207
MEM 146.164062 1674873067.9209
MEM 146.164062 1674873068.0210
MEM 146.164062 1674873068.1213
MEM 146.164062 1674873068.2214
MEM 146.164062 1674873068.3216
MEM 146.164062 1674873068.4218
MEM 146.164062 1674873068.5220
MEM 146.164062 1674873068.6222
MEM 146.164062 1674873068.7224
MEM 146.164062 1674873068.8226
MEM 146.164062 1674873068.9227
MEM 146.164062 1674873069.0229
MEM 146.183594 1674873069.1231
MEM 146.183594 1674873069.2233
MEM 146.183594 1674873069.3235
MEM 146.183594 1674873069.4237
MEM 146.183594 1674873069.5239
MEM 146.183594 1674873069.6241
MEM 146.183594 1674873069.7243
MEM 146.183594 1674873069.8245
MEM 146.183594 1674873069.9247
MEM 146.183594 1674873070.0249
MEM 146.183594 1674873070.1251
MEM 146.183594 1674873070.2253
MEM 146.183594 1674873070.3256
MEM 146.183594 1674873070.4258
MEM 146.183594 1674873070.5260
MEM 146.183594 1674873070.6261
MEM 146.183594 1674873070.7263
MEM 146.183594 1674873070.8265
MEM 146.183594 1674873070.9267
MEM 146.183594 1674873071.0269
MEM 146.183594 1674873071.1271
MEM 146.203125 1674873071.2272
MEM 146.203125 1674873071.3274
MEM 146.203125 1674873071.4276
MEM 146.203125 1674873071.5278
MEM 146.203125 1674873071.6280
MEM 146.203125 1674873071.7282
MEM 146.203125 1674873071.8284
MEM 146.203125 1674873071.9286
MEM 146.203125 1674873072.0288
MEM 146.203125 1674873072.1290
MEM 146.203125 1674873072.2292
MEM 146.203125 1674873072.3294
MEM 158.460938 1674873072.4296
MEM 158.460938 1674873072.5301
MEM 158.460938 1674873072.6303
MEM 158.460938 1674873072.7305
MEM 158.460938 1674873072.8307
MEM 158.460938 1674873072.9310
MEM 158.460938 1674873073.0313
MEM 158.460938 1674873073.1315
MEM 158.460938 1674873073.2317
MEM 158.460938 1674873073.3318
MEM 158.460938 1674873073.4320
MEM 158.460938 1674873073.5322
MEM 158.460938 1674873073.6324
MEM 158.460938 1674873073.7325
MEM 158.460938 1674873073.8327
MEM 158.460938 1674873073.9329
MEM 158.460938 1674873074.0331
MEM 158.460938 1674873074.1333
MEM 158.460938 1674873074.2334
MEM 158.460938 1674873074.3336
MEM 158.460938 1674873074.4338
MEM 158.460938 1674873074.5340
MEM 158.460938 1674873074.6342
MEM 158.460938 1674873074.7344
MEM 158.464844 1674873074.8346
MEM 158.464844 1674873074.9348
MEM 158.464844 1674873075.0350
MEM 158.464844 1674873075.1352
MEM 158.464844 1674873075.2355
MEM 158.464844 1674873075.3360
MEM 158.464844 1674873075.4362
MEM 158.464844 1674873075.5364
MEM 158.464844 1674873075.6366
MEM 158.464844 1674873075.7367
MEM 158.464844 1674873075.8369
MEM 158.464844 1674873075.9371
MEM 158.464844 1674873076.0372
MEM 158.464844 1674873076.1374
MEM 158.464844 1674873076.2376
MEM 158.464844 1674873076.3377
MEM 158.464844 1674873076.4379
MEM 158.464844 1674873076.5381
MEM 158.464844 1674873076.6382
MEM 158.464844 1674873076.7384
MEM 158.464844 1674873076.8385
MEM 158.464844 1674873076.9388
MEM 158.464844 1674873077.0389
MEM 158.464844 1674873077.1391
MEM 158.464844 1674873077.2393
MEM 158.464844 1674873077.3395
MEM 158.464844 1674873077.4397
MEM 158.464844 1674873077.5399
